7.0,1438548061.42,-100.0,-100.0,7.0,1438548061.45,-100.0,-100.0,7.0,1438548061.48,-100.0,-100.0,7.0,1438548061.53,-100.0,-100.0,7.0,1438548061.55,-100.0,-100.0,7.0,1438548061.58,-100.0,-100.0,7.0,1438548061.6,-100.0,-100.0,7.0,1438548061.63,-100.0,-100.0,
9.0,1438548065.94,-100.0,-100.0,9.0,1438548065.97,-100.0,-100.0,9.0,1438548066.0,-100.0,-100.0,9.0,1438548066.02,-100.0,-100.0,9.0,1438548066.05,-100.0,-100.0,9.0,1438548066.08,-100.0,-100.0,9.0,1438548066.1,-100.0,-100.0,9.0,1438548066.12,-100.0,-100.0,
8.0,1438548066.99,-100.0,-100.0,8.0,1438548067.02,-100.0,-100.0,8.0,1438548067.05,-100.0,-100.0,8.0,1438548067.08,-100.0,-100.0,8.0,1438548067.12,-100.0,-100.0,8.0,1438548067.15,-100.0,-100.0,8.0,1438548067.18,-100.0,-100.0,8.0,1438548067.22,-100.0,-100.0,
10.0,1438548070.65,-100.0,-100.0,10.0,1438548070.68,-100.0,-100.0,10.0,1438548070.7,-100.0,-100.0,10.0,1438548070.73,-100.0,-100.0,10.0,1438548070.76,-100.0,-100.0,10.0,1438548070.78,-100.0,-100.0,10.0,1438548070.81,-100.0,-100.0,10.0,1438548070.84,-100.0,-100.0,
9.0,1438548072.99,-100.0,-100.0,9.0,1438548073.01,-100.0,-100.0,9.0,1438548073.04,-100.0,-100.0,9.0,1438548073.06,-100.0,-100.0,9.0,1438548073.09,-100.0,-100.0,9.0,1438548073.12,-100.0,-100.0,9.0,1438548073.15,-100.0,-100.0,9.0,1438548073.17,-100.0,-100.0,
11.0,1438548075.65,-100.0,-100.0,11.0,1438548075.68,-100.0,-100.0,11.0,1438548075.7,-100.0,-100.0,11.0,1438548075.73,-100.0,-100.0,11.0,1438548075.76,-100.0,-100.0,11.0,1438548075.78,-100.0,-100.0,11.0,1438548075.82,-100.0,-100.0,11.0,1438548075.84,-100.0,-100.0,
10.0,1438548078.51,-100.0,-100.0,10.0,1438548078.54,-100.0,-100.0,10.0,1438548078.57,-100.0,-100.0,10.0,1438548078.59,-100.0,-100.0,10.0,1438548078.62,-100.0,-100.0,10.0,1438548078.65,-100.0,-100.0,10.0,1438548078.68,-100.0,-100.0,10.0,1438548078.71,-100.0,-100.0,
12.0,1438548080.47,-100.0,-100.0,12.0,1438548080.5,-100.0,-100.0,12.0,1438548080.53,-100.0,-100.0,12.0,1438548080.55,-100.0,-100.0,12.0,1438548080.58,-100.0,-100.0,12.0,1438548080.6,-100.0,-100.0,12.0,1438548080.65,-100.0,-100.0,12.0,1438548080.68,-100.0,-100.0,
11.0,1438548083.88,-100.0,-100.0,11.0,1438548083.91,-100.0,-100.0,11.0,1438548083.93,-100.0,-100.0,11.0,1438548083.96,-100.0,-100.0,11.0,1438548083.99,-100.0,-100.0,11.0,1438548084.01,-100.0,-100.0,11.0,1438548084.04,-100.0,-100.0,11.0,1438548084.07,-100.0,-100.0,
12.0,1438548089.63,-100.0,-100.0,12.0,1438548089.65,-100.0,-100.0,12.0,1438548089.67,-100.0,-100.0,12.0,1438548089.7,-100.0,-100.0,12.0,1438548089.72,-100.0,-100.0,12.0,1438548089.74,-100.0,-100.0,12.0,1438548089.79,-100.0,-100.0,12.0,1438548089.81,-100.0,-100.0,
